BoilerID,BoilerType,Capacity,ImprovementTech,LifeTime,FuelName,FuelType,Burner,steam_productivity_bef,steam_pressure_bef,feedwater_rate_bef,feedwater_temp_bef,TDS_feed_bef,TDS_blowdown_bef,blowdown_bef,steam_productivity_aft,steam_pressure_aft,feedwater_rate_aft,feedwater_temp_aft,TDS_feed_aft,TDS_blowdown_aft,blowdown_aft,FuelFlowRate_bef[kg/hr],HHV_DB_bef[kJ/kg],L1LHV_bef,L2LHV_bef,L3LHV_bef,L4LHV_bef,L5LHV_bef,L6LHV_bef,L1HHV_bef,L2HHV_bef,L3HHV_bef,L4HHV_bef,L5HHV_bef,L6HHV_bef,FuelFlowRate_pot[kg/hr],HHV_DB_pot[kJ/kg],L1LHV_pot,L2LHV_pot,L3LHV_pot,L4LHV_pot,L5LHV_pot,L6LHV_pot,L1HHV_pot,L2HHV_pot,L3HHV_pot,L4HHV_pot,L5HHV_pot,L6HHV_pot,FuelFlowRate_aft[kg/hr],HHV_DB_aft[kJ/kg],L1LHV_aft,L2LHV_aft,L3LHV_aft,L4LHV_aft,L5LHV_aft,L6LHV_aft,L1HHV_aft,L2HHV_aft,L3HHV_aft,L4HHV_aft,L5HHV_aft,L6HHV_aft,me_o2_bef,me_tg_bef,me_co_bef,me_o2_aft,me_tg_aft,me_co_aft,L1_toe_pot,L2_toe_pot,L3_toe_pot,L4_toe_pot,L5_toe_pot,L6_toe_pot,L1_save_pot,L2_save_pot,L3_save_pot,L4_save_pot,L5_save_pot,L6_save_pot,L1_inv_pot,L2_inv_pot,L3_inv_pot,L4_inv_pot,L5_inv_pot,L6_inv_pot,L1_toe_aft,L2_toe_aft,L3_toe_aft,L4_toe_aft,L5_toe_aft,L6_toe_aft,L1_save_aft,L2_save_aft,L3_save_aft,L4_save_aft,L5_save_aft,L6_save_aft,L1_inv_aft,L2_inv_aft,L3_inv_aft,L4_inv_aft,L5_inv_aft,L6_inv_aft,s2_fueltype,s2_fts_bef,s2_qts_bef,s2_qtstoe_bef,s2_cts_bef,s2_c_bef,s2_pb_bef,s2_fts_aft,s2_qts_aft,s2_qtstoe_aft,s2_cts_aft,s2_c_aft,s2_pb_aft,s8_fueltype,s8_fts_bef,s8_qts_bef,s8_qtstoe_bef,s8_cts_bef,s8_c_bef,s8_pb_bef,s8_fts_aft,s8_qts_aft,s8_qtstoe_aft,s8_cts_aft,s8_c_aft,s8_pb_aft,s9_fueltype,s9_fts_bef,s9_qts_bef,s9_qtstoe_bef,s9_cts_bef,s9_c_bef,s9_pb_bef,s9_fts_aft,s9_qts_aft,s9_qtstoe_aft,s9_cts_aft,s9_c_aft,s9_pb_aft,IndirectEFF_LHV_bef_[%],IndirectEFF_HHV_bef_[%],IndirectEFF_LHV_pot_[%],IndirectEFF_HHV_pot_[%],IndirectEFF_LHV_aft_[%],IndirectEFF_HHV_aft_[%]
10621-0019-1,water tube,4.0,,10.0,แกลบ,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,,14.51,3950.00,74.00,34.30,994.00,136.30,,11.00,3910.00,91.00,14.96,1392.00,136.30,790.00,17156.17,12.93,0.0,0.04,1.62,0.91,0.63,20.68,0.0,0.04,1.52,0.85,0.59,790.00,17156.17,10.49,0.0,0.03,1.62,0.91,0.17,18.38,0.0,0.03,1.52,0.85,0.16,900.00,17156.16,12.24,0.0,0.02,1.62,0.63,0.43,20.03,0.0,0.02,1.52,0.59,0.41,10.60,222.10,82.00,9.90,222.70,56.30,27.32,0.00,0.11,0.00,0.00,5.15,117255.86000000002,0.00,480.56,0.00,0.00,22105.62,0.00,0.00,0.00,0.00,0.00,0.00,7.84,0.00,0.23,0.00,3.18,2.27,33644.17,0.00,975.19,0.00,13652.71,9751.93,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,83.86999999999999,76.32,86.78,79.06000000000002,85.06,77.43
10132-0005-1,fire tube,3.0,"Economizer, นำคอนเดนเสทกลับมาใช้",15.0,LPG,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,892.06,9.50,892.06,96.27,7.14,100.17,63.58,1220.47,8.50,1348.20,92.00,382.00,4032.00,127.73,46.50,50150.00,12.65,0.0,0.02,0.0,1.31,1.03,19.78,0.0,0.02,0.0,1.2,0.95,46.50,50150.00,9.86,0.0,0.01,0.0,1.31,0.02,17.22,0.0,0.01,0.0,1.2,0.02,67.56,50150.00,9.2,0.0,0.0,0.0,1.38,1.42,16.61,0.0,0.0,0.0,1.27,1.3,7.10,246.40,48.00,3.50,223.60,25.00,13.45,0.00,0.05,0.00,0.00,4.87,273249.12,0.00,979.39,0.00,0.00,98918.16,0.00,0.00,0.00,0.00,0.00,0.00,16.78,0.00,0.10,0.00,-0.34,-1.90,340957.99,0.00,1976.57,0.00,-6917.99,-38543.09,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,84.99,78.05,88.8,81.55,88.0,80.82000000000001
10120-0017-1,fire tube,12.0,นำคอนเดนเสทกลับมาใช้,19.0,LPG,Gas, แบบผสมเชื้อเพลิงกับอากาศก่อนป้อนเข้าเผาไหม้ (Pre-mix Burner) ,3600.00,8.30,,102.86,463.00,4098.00,704.00,3600.00,8.30,,102.86,463.00,4098.00,704.00,196.97,50150.00,8.73,0.0,0.0,0.0,0.68,2.3,16.18,0.0,0.0,0.0,0.63,2.11,196.97,50150.00,7.16,0.0,0.0,0.0,0.33,1.68,14.73,0.0,0.0,0.0,0.3,1.54,196.97,50150.00,8.73,0.0,0.0,0.0,0.68,2.3,16.18,0.0,0.0,0.0,0.63,2.11,5.86,194.84,0.00,5.86,194.84,0.00,36.91,0.00,0.00,0.00,8.23,14.58,663957.1900000002,0.00,0.00,0.00,148015.96,262199.70,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,"5,000.00","5,000.00",0.00,0.0,0.00,0.00,0.00,0.00,,"21,302.32",0.847,20.05,"244,976.68","400,000.00",1.63,"-45,378.56",-0.001,-42.73,"-521,853.44",0.00,0.00,,"142,850.76",0.005,139.59,"1,999,910.64","3,000,000.00",1.50,"500,000.00",0.02,488.59,"7,000,000.00",0.00,0.00,88.28999999999999,81.08,90.83,83.42999999999999,88.28999999999999,81.08
30911-0005-1,once through,1.0,นำคอนเดนเสทกลับมาใช้,11.0,LPG,Gas, แบบผสมเชื้อเพลิงกับอากาศก่อนป้อนเข้าเผาไหม้ (Pre-mix Burner) ,341.41,7.01,362.50,60.00,96.00,1650.00,21.09,,7.01,362.50,60.00,96.00,1650.00,21.09,19.95,50150.00,8.84,0.0,0.02,0.0,0.35,0.56,16.28,0.0,0.01,0.0,0.32,0.52,19.95,50150.00,6.19,0.0,0.01,0.0,0.35,0.26,13.84,0.0,0.01,0.0,0.32,0.24,19.95,50150.00,8.95,0.0,0.02,0.0,0.35,0.56,16.37,0.0,0.01,0.0,0.32,0.52,5.00,203.60,50.00,5.00,203.60,50.00,3.5300000000000002,0.00,0.01,0.00,0.00,0.40,62895.07000000001,0.00,237.34,0.00,0.00,7120.22,0.00,0.00,0.00,0.00,0.00,0.00,-0.169999999999999,0.00,0.00,0.00,0.00,0.00,-2881.0999999999985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,90.23,82.87,93.19,85.59,90.12,82.78
13132-1001-1,fire tube,12.0,นำคอนเดนเสทกลับมาใช้,20.0,กะลาปาล์ม,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,2690.24,8.50,2666.50,71.00,26.24,1188.50,58.87,2624.83,8.20,2655.76,72.00,41.00,3520.00,30.93,682.66,17408.09,23.3,0.0,0.2,0.2,0.99,0.28,32.98,0.0,0.19,0.19,0.93,0.26,682.66,17408.09,15.21,0.0,0.13,0.2,0.99,0.16,25.37,0.0,0.12,0.19,0.93,0.15,538.33,17408.09,20.38,0.0,0.18,0.2,1.13,0.18,30.23,0.0,0.17,0.19,1.06,0.17,14.60,171.00,145.00,14.00,167.20,140.00,123.59,0.00,1.07,0.00,0.00,1.83,996887.3600000001,0.00,8625.73,0.00,0.00,14786.96,0.00,0.00,0.00,0.00,0.00,0.00,47.71,0.00,0.33,0.00,-2.29,1.63,384863.25,0.00,2636.05,0.00,-18452.35,13180.25,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,75.03,65.45,83.31,73.23999999999998,77.92999999999999,68.17999999999999
10420-1002-1,water tube,35.0,"Air Heater, นำคอนเดนเสทกลับมาใช้",14.0,ทะลายปาล์ม/เส้นใยปาล์ม,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,22780.00,30.00,20000.00,105.00,120.00,1350.00,2044.44,20182.91,30.00,20490.00,105.00,36.00,2402.00,307.09,10168.00,16224.10,57.85,0.0,0.49,0.0,0.83,0.76,61.34,0.0,0.45,0.0,0.76,0.7,10168.00,16224.10,16.13,0.0,0.13,0.0,0.1,0.29,23.07,0.0,0.12,0.0,0.1,0.27,11070.00,16224.10,24.04,0.0,0.19,0.0,0.76,0.08,30.32,0.0,0.18,0.0,0.7,0.08,18.60,189.00,151.66,15.00,189.00,151.66,8275.93,0.00,71.41,0.00,144.81,93.23,58725761.199999996,0.00,506741.95,0.00,1027560.06,661579.76,250000.00,0.00,0.00,0.00,350000.00,0.00,-224.69999999999982,0.00,66.20,0.00,15.45,150.05,52941277.55999999,0.00,469754.02,0.00,109609.27,1064775.77,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,40.07,36.74999999999999,83.35000000000001,76.44000000000001,74.93,68.72
10802-1021-2,hybrid,20.0,"Economizer, นำคอนเดนเสทกลับมาใช้",4.0,ถ่านหิน,Solid,  overfeed stoker (Step/pushing/dumping Grate Stoker),10364.60,8.48,10652.62,97.90,150.00,1595.00,288.00,10365.00,8.48,10652.62,97.90,150.00,1595.00,288.00,1503.00,28508.00,14.89,0.0,0.07,0.8,0.22,0.3,21.52,0.0,0.06,0.78,0.21,0.29,1503.00,28508.00,10.11,0.0,0.05,0.8,0.22,0.3,16.88,0.0,0.05,0.78,0.21,0.29,1503.00,28508.00,14.89,0.0,0.07,0.8,0.22,0.3,21.52,0.0,0.06,0.78,0.21,0.29,10.72,205.82,98.99,10.72,205.80,98.99,217.81,0.00,0.91,0.00,0.00,0.00,1638520.97,0.00,6855.74,0.00,0.00,0.00,3000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,83.72000000000001,77.14,88.52000000000001,81.79,83.72000000000001,77.14
13113-0013-1,once through,6.0,Economizer,1.0,ก๊าซธรรมชาติ,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,3858.33,18.78,3901.02,40.90,20.25,958.00,42.69,3858.33,18.78,3901.02,40.90,20.25,958.00,42.69,245.88,49989.00,3.07,0.0,0.0,0.0,0.09,0.28,13.97,0.0,0.0,0.0,0.08,0.25,245.88,49989.00,2.93,0.0,0.0,0.0,0.09,0.28,13.85,0.0,0.0,0.0,0.08,0.25,245.87,49989.00,3.07,0.0,0.0,0.0,0.09,0.28,13.97,0.0,0.0,0.0,0.08,0.25,4.80,84.81,2.29,4.80,84.81,2.29,5.03,0.00,0.00,0.00,0.00,0.00,63542.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,96.56,85.7,96.69999999999999,85.82000000000001,96.56,85.7
13113-0013-2,once through,6.0,Economizer,1.0,ก๊าซธรรมชาติ,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,3320.39,18.55,3416.17,41.00,20.25,1740.00,95.80,3320.37,18.55,3416.17,41.00,20.25,1740.00,95.80,218.48,49989.00,3.09,0.0,0.0,0.0,0.11,0.71,13.99,0.0,0.0,0.0,0.1,0.63,218.48,49989.00,3.09,0.0,0.0,0.0,0.11,0.71,13.99,0.0,0.0,0.0,0.1,0.63,218.47,49989.00,3.09,0.0,0.0,0.0,0.11,0.71,13.99,0.0,0.0,0.0,0.1,0.63,4.62,85.58,1.80,4.62,85.58,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,96.09,85.28000000000002,96.09,85.28000000000002,96.09,85.28000000000002
11011-0013-2,fire tube,10.6,นำคอนเดนเสทกลับมาใช้,34.0,Use oil,Liquid,แบบใช้ความดันน้ำมัน (Pressure Atomized)  ,2063.68,7.00,2262.04,104.00,11.00,1596.00,15.59,,7.01,2500.00,105.00,13.00,2650.00,12.26,145.96,41499.56,8.5,0.0,0.09,0.0,1.84,0.06,13.7,0.0,0.09,0.0,1.73,0.06,145.96,41499.56,6.99,0.0,0.0,0.0,0.75,0.03,12.28,0.0,0.0,0.0,0.71,0.02,164.00,41499.56,6.48,0.0,0.0,0.0,0.67,0.04,11.8,0.0,0.0,0.0,0.63,0.04,3.90,208.30,249.00,2.50,179.50,20.00,15.009999999999996,0.00,0.89,0.00,10.84,0.30,162058.99000000005,0.00,9659.15,0.00,116983.04,3219.72,0.00,0.00,0.00,0.00,5000.00,0.00,19.979999999999993,0.00,0.89,0.00,11.58,0.20,215766.36,0.00,9613.35,0.00,124973.59,2136.30,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,89.50999999999999,84.41999999999999,92.23,86.99000000000001,92.80999999999999,87.53
11011-0013-3,fire tube,3.9,นำคอนเดนเสทกลับมาใช้,34.0,ฺBiogas,Gas, แบบผสมเชื้อเพลิงกับอากาศก่อนป้อนเข้าเผาไหม้ (Pre-mix Burner) ,689.73,7.00,667.57,104.00,11.00,1595.00,4.60,,7.01,930.00,105.00,13.00,2402.00,5.57,109.80,20358.00,11.75,0.0,0.12,0.0,1.76,0.06,24.21,0.0,0.11,0.0,1.51,0.05,109.80,20358.00,9.61,0.0,0.12,0.0,1.49,0.02,22.38,0.0,0.1,0.0,1.28,0.02,143.70,20358.00,9.05,0.0,0.0,0.0,0.51,0.05,21.89,0.0,0.0,0.0,0.44,0.04,3.10,198.30,239.00,2.00,172.60,11.00,2.03,0.00,0.00,0.00,0.26,0.04,4933.450000000001,0.00,0.00,0.00,622.44,92.21,0.00,0.00,0.00,0.00,10000.00,0.00,2.52,0.00,0.11,0.00,1.17,0.01,6107.6399999999985,0.00,271.45,0.00,2827.61,22.62,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,86.30999999999999,74.11999999999999,88.76,76.22000000000001,90.39,77.63
20113-0023-1,water tube,40.0,Economizer,16.0,ก๊าซธรรมชาติ,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,12585.00,14.00,12975.00,85.00,15.50,78.00,3720.00,12074.47,14.00,12454.00,85.00,14.70,61.30,3720.00,800.00,46453.76,8.98,0.0,0.01,0.0,0.03,5.5,19.12,0.0,0.01,0.0,0.02,4.89,800.00,46453.76,6.83,0.0,0.0,0.0,0.02,2.22,17.21,0.0,0.0,0.0,0.02,1.97,738.48,46453.76,6.65,0.0,0.0,0.0,0.03,5.96,17.04,0.0,0.0,0.0,0.02,5.3,9.00,153.70,20.00,6.30,143.00,7.40,264.63,0.00,1.23,0.00,1.23,403.73,2155779.61,0.00,10026.88,0.00,10026.88,3288817.27,10000.00,0.00,0.00,0.00,0.00,10000.00,298.41,0.00,1.28,0.00,0.00,-58.91,2430928.01,0.00,10433.17,0.00,0.00,-479925.72,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,85.47999999999999,75.96,90.93,80.8,87.36,77.64000000000001
20113-0023-2,water tube,40.0,Economizer,16.0,ก๊าซธรรมชาติ,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,17940.00,14.00,18150.00,85.00,15.50,48.10,3720.00,20348.00,14.00,20858.00,85.00,14.70,58.40,3720.00,1120.00,46453.76,10.22,0.0,0.01,0.0,0.05,3.93,20.22,0.0,0.01,0.0,0.04,3.49,1120.00,46453.76,7.19,0.0,0.0,0.0,0.05,1.58,17.53,0.0,0.0,0.0,0.04,1.4,1263.00,46453.76,6.6,0.0,0.0,0.0,0.02,3.48,17.0,0.0,0.0,0.0,0.02,3.1,10.00,155.60,19.50,4.80,151.90,7.80,372.06,0.00,1.23,0.00,0.00,288.57,3030937.1,0.00,10003.09,0.00,0.00,2350726.80,10000.00,0.00,0.00,0.00,0.00,10000.00,450.77,0.00,1.25,0.00,3.74,56.04,3672134.0700000003,0.00,10144.02,0.00,30432.05,456480.75,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,85.78999999999999,76.24,91.18,81.02999999999999,89.9,79.88000000000001
20113-0023-3,water tube,40.0,Economizer,16.0,ก๊าซธรรมชาติ,Gas, แบบผสมกันภายในหัวเผา (Nozzle-mix burner) ,19400.00,14.00,20580.00,85.00,15.50,56.30,3720.00,21556.00,14.00,22025.00,85.00,14.70,58.50,3720.00,1255.00,46453.76,10.4,0.0,0.01,0.0,0.04,3.51,20.38,0.0,0.01,0.0,0.04,3.12,1255.00,46453.76,7.62,0.0,0.0,0.0,0.04,1.41,17.91,0.0,0.0,0.0,0.04,1.25,1267.00,46453.76,6.8,0.0,0.0,0.0,0.04,3.47,17.18,0.0,0.0,0.0,0.03,3.09,9.50,161.70,21.00,4.80,152.40,12.30,341.89,0.00,1.23,0.00,0.00,258.27,2785132.04,0.00,10018.46,0.00,0.00,2103876.79,10000.00,0.00,0.00,0.00,0.00,10000.00,448.45,0.00,1.25,0.00,0.00,4.98,3653181.4899999998,0.00,10147.73,0.00,0.00,40590.91,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,86.03999999999998,76.44999999999999,90.92999999999999,80.8,89.69,79.69999999999999
